抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_begin,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-07-06 11:47:46,118071,华峰转债,hfzz,100.0,0.0,688200,华峰测控,hfck,443.4,-4.44,21.23,336.12,131.92,176,-24.19,75.81,270108,电子,shkc,C,,[],0,0,buy,AA,,235.284,436.956,0.8,buy,2032-06-22,5.967,7.49,0.0,297941.15,0.0,2.17,,0,,00,Y,N,0,0,Y,,未到转股期；2026-12-29 开始转股,计算使用6.0年期 评级为AA 债参考YTM：2.2056,N,7.49,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-06 11:47:46,113704,春风转债,cfzz,100.0,0.0,603129,春风动力,cfdl,269.2,2.38,5.16,241.7,111.38,163,-10.22,89.78,280402,汽车,shmb,C,2026-07-07,[],0,0,buy,AA+,,169.19,314.21,5.3,buy,2032-06-09,5.932,21.79,0.0,57178.9,0.0,2.0,,0,,00,Y,N,0,0,Y,,未到转股期；2026-12-16 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：1.9456,N,21.79,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-06 11:47:46,118070,南芯转债,nxzz,100.0,0.0,688484,南芯科技,nxkj,46.05,-4.18,4.72,43.84,105.04,172,-4.8,95.2,270105,电子,shkc,C,,[],0,0,buy,AA+,,30.688,56.992,8.1,buy,2032-06-17,5.953,15.869,0.0,81425.94,0.0,2.03,,0,,00,Y,N,0,0,Y,,未到转股期；2026-12-25 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：1.9456,N,15.869,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-06 11:47:46,113706,金帝转债,jdzz,100.0,0.0,603270,金帝股份,jdgf,31.22,-8.98,2.98,30.62,101.96,169,-1.92,98.08,640108,机械设备,shmb,C,,[],0,0,buy,AA,,21.434,39.806,43.9,buy,2032-06-14,5.945,9.7,0.0,46614.3,0.0,2.96,,0,,00,Y,N,0,0,Y,,未到转股期；2026-12-22 开始转股,计算使用6.0年期 评级为AA 债参考YTM：2.2056,N,9.7,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-06 11:47:46,118011,XD银微转,ywzz,257.758,19.83,688689,银河微电,yhwd,80.75,18.7,7.58,31.05,260.06,0,-0.89,256.87,270102,电子,shkc,C,2022-08-02,[],0,0,buy,A+,,21.735,40.365,2.5,buy,2028-07-04,1.997,2.728,668721.36,123806.53,1014.64,-32.81,,0,15:00:00,00,Y,N,0,0,Y,,2023-01-09 开始转股,已公告要强赎，如不考虑强赎纯债价值为107.92元，计算使用2.0年期 评级为A+ 债参考YTM：4.3568,N,5.0,全价：257.758 最后更新：15:00:00,,,如不考虑强赎期权价值为170.91元,1,"{'O': '', 'M': ''}",0,0,N,,,buy,buy
2026-07-06 11:47:46,110074,精达转债,jdzz,286.297,-4.26,600577,精达股份,jdgf,9.37,-3.3,3.22,3.26,287.42,0,-0.39,285.91,630805,电力设备,shmb,C,2020-09-21,[],0,0,buy,AA,,2.282,4.238,1.1,buy,2026-08-19,0.121,2.283,27746.51,62808.56,41.69,-516.81,,0,14:59:59,00,Y,N,0,0,Y,,2021-02-25 开始转股,如不考虑强赎纯债价值为111.80元，计算使用0.2年期 评级为AA 债参考YTM：1.5241,N,7.87,全价：286.297 最后更新：14:59:59,,,,1,"{'B': '', 'M': ''}",0,0,N,,,buy,buy
2026-07-06 11:47:46,123251,华医转债,hyzz,290.019,-3.87,301235,华康洁净,hkjj,64.6,-3.71,3.65,22.24,290.47,0,-0.15,289.87,370502,医药生物,szcy,C,2025-01-09,[],0,0,buy,A+,,15.568,28.912,14.4,buy,2030-12-23,4.469,6.832,79591.48,37805.73,39.79,-18.19,,0,15:34:33,00,Y,N,0,0,Y,,2025-06-27 开始转股,计算使用4.5年期 评级为A+ 债参考YTM：4.8815,N,7.5,全价：290.019 最后更新：15:34:33,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-06 11:47:46,110077,洪城转债,hczz,204.589,0.81,600461,洪城环境,hchj,9.03,1.23,1.13,4.41,204.76,0,-0.08,204.51,760102,环保,shmb,C,2020-12-17,[],0,0,buy,AA+,,3.087,5.733,5.8,buy,2026-11-20,0.375,6.67,10989.89,11148.68,8.12,-124.08,,0,14:59:54,00,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用0.4年期 评级为AA+ 债参考YTM：1.4946,N,18.0,全价：204.589 最后更新：14:59:54,,,,1,"{'G': '本次（2025年6月22日至2025年7月11日）不提前赎回，以2026年7月12日为首个交易日重新计算', 'M': ''}",0,0,N,,,buy,buy
2026-07-06 11:47:46,127114,宜化转债,yhzz,100.0,0.0,000422,湖北宜化,hbyh,14.09,-0.7,2.18,14.08,100.07,182,-0.07,99.93,220801,基础化工,szmb,C,,[],0,0,buy,AA+,,9.856,18.304,22.1,buy,2032-06-25,5.975,33.0,0.0,42003.69,0.0,2.2,,0,,00,Y,Y,0,0,Y,,未到转股期；2027-01-04 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：1.9456,N,33.0,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-06 11:47:46,123178,花园转债,hyzz,153.292,-6.75,300401,花园生物,hysw,20.45,-5.98,3.15,13.34,153.3,0,0.0,153.29,370101,医药生物,szcy,C,2023-03-23,[],0,0,buy,AA-,,9.338,17.342,10.6,buy,2029-03-06,2.669,11.58,83873.35,102364.53,44.63,-9.34,,0,15:34:42,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-09-11 开始转股,计算使用2.7年期 评级为AA- 债参考YTM：2.2297,N,12.0,全价：153.292 最后更新：15:34:42,,,,0,{'M': ''},0,0,N,,,buy,buy
