抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_begin,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-09-02 12:13:48,123284,强达转债,qdzz,100.0,0.0,301628,强达电路,qddl,104.23,0.53,6.59,84.04,124.02,176,-19.37,80.63,270202,电子,szcy,C,2026-09-03,[],0,0,buy,AA-,,58.828,109.252,18.2,buy,2032-08-18,5.964,5.5,0.0,32759.41,0.0,2.2,,0,,00,Y,N,0,0,Y,,未到转股期；2027-02-25 开始转股,计算使用6.0年期 评级为AA- 债参考YTM：3.0555,N,5.5,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-02 12:13:48,113710,四方转债,sfzz,100.0,0.0,603339,四方科技,sfkj,15.46,-3.86,1.72,14.87,103.97,188,-3.82,96.18,640105,机械设备,shmb,C,,[],0,0,buy,AA,,10.409,19.331,21.4,buy,2032-09-02,6.003,10.234,0.0,48457.44,0.0,2.15,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-09 开始转股,计算使用6.1年期 评级为AA 债参考YTM：2.1146,N,10.234,待上市,,,,0,[],0,0,N,,,buy,buy
2026-09-02 12:13:48,123112,万讯转债,wxzz,138.95,-5.67,300112,万讯自控,wxzk,9.0,-5.26,2.65,6.43,139.97,0,-0.73,138.22,640107,机械设备,szcy,C,2021-04-23,[],0,0,buy,AA-,,4.501,8.359,8.5,buy,2027-04-08,,1.863,37272.14,17622.89,141.09,,,0,15:34:39,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-10-14 开始转股,强赎登记日2026-09-11，赎回价格101.3320元，如不考虑强赎纯债价值为116.76元，计算使用0.6年期 评级为AA- 债参考YTM：1.7847,N,2.457,全价：138.950 最后更新：15:34:39,2026-09-11,101.3320,如不考虑强赎期权价值为45.04元,1,{'R': '最后交易日 2026年9月11日\r\n最后转股日 2026年9月16日\r\n赎回价 101.332元/张'},0,0,N,,,buy,buy
2026-09-02 12:13:48,127067,恒逸转2,hyz2,179.39,-2.41,000703,恒逸石化,hysh,18.52,-2.42,2.32,10.32,179.46,0,-0.04,179.35,750301,石油石化,szmb,C,2022-08-18,[],0,0,buy,AA+,,7.224,13.416,0.3,buy,2028-07-21,,2.589,88645.15,161445.07,186.61,,,0,15:34:39,00,Y,N,0,0,Y,,2023-01-30 开始转股,强赎登记日2026-09-03，赎回价格100.2500元，如不考虑强赎纯债价值为107.50元，计算使用1.9年期 评级为AA+ 债参考YTM：1.6358,N,30.0,全价：179.390 最后更新：15:34:39,2026-09-03,100.2500,如不考虑强赎期权价值为95.78元,1,"{'R': '最后交易日 2026年9月3日\r\n最后转股日 2026年9月8日\r\n赎回价 100.25元/张', 'M': ''}",0,0,N,,,buy,buy
2026-09-02 12:13:48,110077,洪城转债,hczz,203.381,-0.29,600461,洪城环境,hchj,8.93,-0.33,1.15,4.41,202.49,0,0.44,203.82,760102,环保,shmb,C,2020-12-17,[],0,0,buy,AA+,,3.087,5.733,5.0,buy,2026-11-20,0.216,5.837,3392.8,8448.64,2.86,-214.85,,0,14:59:54,00,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用0.3年期 评级为AA+ 债参考YTM：1.5087,N,18.0,全价：203.381 最后更新：14:59:54,,,,1,"{'G': '本次（2026年7月12日至2026年7月31日）不提前赎回，至到期日止均不行使提前赎回权利', 'M': ''}",0,0,N,,,buy,buy
2026-09-02 12:13:48,123243,严牌转债,ypzz,223.5,-0.88,301081,严牌股份,ypgf,15.89,-0.75,3.24,7.22,220.08,0,1.55,225.05,760201,环保,szcy,C,2024-07-26,[],0,0,buy,A+,,5.054,9.386,7.3,buy,2030-07-10,3.855,2.607,29250.94,7064.08,50.36,-15.42,,0,15:33:57,00,Y,N,0,0,Y,,2025-01-16 开始转股,计算使用3.9年期 评级为A+ 债参考YTM：4.6709,N,4.679,全价：223.500 最后更新：15:33:57,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-02 12:13:48,128134,鸿路转债,hlzz,121.55,-0.53,002541,鸿路钢构,hlgg,20.83,-1.75,1.41,17.49,119.1,0,2.06,123.61,620401,建筑装饰,szmb,C,2020-11-02,[],0,0,buy,AA,,12.243,22.737,12.4,buy,2026-10-09,0.101,13.197,9661.0,24234.95,6.09,-96.37,,0,15:33:57,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2021-04-15 开始转股,计算使用0.2年期 评级为AA 债参考YTM：1.5144,N,18.8,全价：121.550 最后更新：15:33:57,,,,0,"{'R': '到期\n最后交易日：2026-09-28\n最后转股日：2026-10-08\n', 'M': ''}",0,0,N,,,buy,buy
2026-09-02 12:13:48,127061,美锦转债,mjzz,113.125,-1.6,000723,美锦能源,mjny,3.84,-3.76,1.36,3.47,110.66,0,2.22,115.35,740201,煤炭,szmb,C,2022-05-30,[],0,0,buy,A,,2.429,4.511,16.4,buy,2028-04-20,1.633,27.742,19109.92,56972.03,6.03,4.0,,0,15:34:36,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2022-10-26 开始转股,计算使用1.7年期 评级为A 债参考YTM：6.6286,N,35.9,全价：113.125 最后更新：15:34:36,,,,1,{'M': ''},0,0,N,,,buy,buy
2026-09-02 12:13:48,113042,上银转债,syzz,118.285,0.13,601229,上海银行,shyh,9.63,-0.52,0.51,8.35,115.33,0,2.56,120.85,480401,银行,shmb,C,2021-02-10,[],0,0,buy,AAA,,,10.855,14.6,buy,2027-01-25,0.397,199.774,30456.07,41973.41,1.29,-13.37,,0,14:59:56,00,Y,Y,0,0,Y,,2021-07-29 开始转股,计算使用0.4年期 评级为AAA 债参考YTM：1.4963,N,200.0,全价：118.285 最后更新：14:59:56,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-02 12:13:48,113046,金田转债,jtzz,136.108,-0.08,601609,金田股份,jtgf,13.46,0.0,2.25,10.18,132.22,0,2.94,139.05,240302,有色金属,shmb,C,2021-04-12,[],0,0,buy,AA+,,7.126,13.234,6.4,buy,2027-03-22,0.551,14.992,9679.34,62663.05,4.74,-34.83,,0,15:00:00,00,Y,N,0,0,Y,,2021-09-27 开始转股,计算使用0.6年期 评级为AA+ 债参考YTM：1.5272,N,15.0,全价：136.108 最后更新：15:00:00,,,,1,{'M': ''},0,0,N,,,buy,buy
