抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_begin,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-09-21 14:26:01,123285,润禾转02,rhz02,100.0,0.0,300727,润禾材料,rhcl,35.57,0.68,4.74,31.1,114.37,176,-12.57,87.43,220316,基础化工,szcy,C,,[],0,0,buy,A+,,21.77,40.43,6.4,buy,2032-09-09,5.973,3.7,0.0,13844.46,0.0,2.84,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-16 开始转股,计算使用6.0年期 评级为A+ 债参考YTM：5.1308,N,3.7,待上市,,,,0,[],0,0,N,,,buy,buy
2026-09-21 14:26:01,123286,国科转债,gkzz,100.0,0.0,301571,国科天成,gktc,76.94,2.97,6.51,74.5,103.28,190,-3.17,96.83,650501,国防军工,szcy,C,,[],0,0,buy,AA-,,52.15,96.85,9.3,buy,2032-09-22,6.003,8.49,0.0,60252.15,0.0,2.19,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-30 开始转股,计算使用6.1年期 评级为AA- 债参考YTM：2.8154,N,8.49,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-21 14:26:01,127117,奥士转债,aszz,100.0,0.0,002913,奥士康,ask,84.5,0.52,6.1,83.96,100.64,190,-0.64,99.36,270202,电子,szmb,C,,[],0,0,buy,AA,,58.772,109.148,3.9,buy,2032-09-22,6.003,10.0,0.0,166200.43,0.0,2.15,,0,,00,Y,N,0,0,Y,,未到转股期；2027-03-30 开始转股,计算使用6.1年期 评级为AA 债参考YTM：2.0161,N,10.0,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-21 14:26:01,123258,胜蓝转02,slz2,262.051,-1.54,300843,胜蓝股份,slgf,143.17,-1.13,13.59,54.36,263.37,0,-0.5,261.55,270504,电子,szcy,C,2025-09-10,[],0,0,buy,AA-,,38.052,70.668,1.7,buy,2031-08-28,,3.873,86399.48,71612.69,83.97,,,0,15:34:15,00,Y,N,0,0,Y,,2026-03-03 开始转股,强赎登记日2026-09-29，赎回价格100.0500元，如不考虑强赎纯债价值为105.21元，计算使用5.0年期 评级为AA- 债参考YTM：2.3192,N,4.5,全价：262.051 最后更新：15:34:15,2026-09-29,100.0500,如不考虑强赎期权价值为206.58元,0,"{'R': '最后交易日 2026年9月29日\r\n最后转股日 2026年10月9日\r\n赎回价 100.05元/张', 'M': ''}",0,0,N,,,buy,buy
2026-09-21 14:26:01,113046,金田转债,jtzz,130.065,-1.24,601609,金田股份,jtgf,13.26,-0.15,2.21,10.18,130.26,0,-0.15,129.92,240302,有色金属,shmb,C,2021-04-12,[],0,0,buy,AA+,,7.126,13.234,6.5,buy,2027-03-22,0.499,14.971,22717.16,54536.16,11.58,-30.94,,0,14:59:59,00,Y,N,0,0,Y,,2021-09-27 开始转股,计算使用0.5年期 评级为AA+ 债参考YTM：1.5101,N,15.0,全价：130.065 最后更新：14:59:59,,,,1,{'M': ''},0,0,N,,,buy,buy
2026-09-21 14:26:01,110077,洪城转债,hczz,201.199,-0.81,600461,洪城环境,hchj,8.88,-0.78,1.17,4.41,201.36,0,-0.08,201.12,760102,环保,shmb,C,2020-12-17,[],0,0,buy,AA+,,3.087,5.733,4.4,buy,2026-11-20,0.164,5.202,6896.81,11396.29,6.58,-280.49,,0,14:59:54,00,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用0.2年期 评级为AA+ 债参考YTM：1.5001,N,18.0,全价：201.199 最后更新：14:59:54,,,,1,"{'G': '本次（2026年7月12日至2026年7月31日）不提前赎回，至到期日止均不行使提前赎回权利', 'M': ''}",0,0,N,,,buy,buy
2026-09-21 14:26:01,113042,上银转债,syzz,117.305,0.03,601229,上海银行,shyh,9.54,-0.21,0.51,8.35,114.25,0,2.67,119.98,480401,银行,shmb,C,2021-02-10,[],0,0,buy,AAA,,,10.855,14.1,buy,2027-01-25,0.345,192.16,14617.42,33773.19,0.65,-13.1,,0,14:59:32,00,Y,Y,0,0,Y,,2021-07-29 开始转股,计算使用0.4年期 评级为AAA 债参考YTM：1.4851,N,200.0,全价：117.305 最后更新：14:59:32,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-09-21 14:26:01,127047,帝欧转债,dozz,133.6,-0.46,002798,帝欧水华,dosh,6.62,-0.3,1.9,5.1,129.8,0,2.92,136.52,360306,轻工制造,szmb,C,2021-11-26,[],0,0,buy,BBB+,,3.57,6.63,13.6,buy,2027-10-25,1.093,4.654,3531.86,5067.09,5.66,-11.59,,0,15:34:42,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-04-29 开始转股,计算使用1.1年期 评级为BBB+ 债参考YTM：11.8773,N,15.0,全价：133.600 最后更新：15:34:42,,,,1,[],0,0,N,,,buy,buy
2026-09-21 14:26:01,123243,严牌转债,ypzz,254.883,-0.51,301081,严牌股份,ypgf,17.73,1.03,3.63,7.22,245.57,0,3.79,258.67,760201,环保,szcy,C,2024-07-26,[],0,0,buy,A+,,5.054,9.386,6.4,buy,2030-07-10,3.803,2.558,84113.47,18993.02,128.62,-18.52,,0,15:34:27,00,Y,N,0,0,Y,,2025-01-16 开始转股,计算使用3.9年期 评级为A+ 债参考YTM：4.5824,N,4.679,全价：254.883 最后更新：15:34:27,,,,0,"{'G': '本次（2026年8月27日至2026年9月16日）不提前赎回，以2026年12月16日后的首个交易日重新计算', 'M': ''}",0,0,N,,,buy,buy
2026-09-21 14:26:01,128134,鸿路转债,hlzz,111.074,-0.23,002541,鸿路钢构,hlgg,18.66,0.27,1.29,17.49,106.69,0,4.11,115.18,620401,建筑装饰,szmb,C,2020-11-02,[],0,0,buy,AA,,12.243,22.737,11.6,buy,2026-10-09,0.049,11.073,29028.1,17456.65,23.68,-20.75,,0,15:34:09,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2021-04-15 开始转股,计算使用0.1年期 评级为AA 债参考YTM：1.5100,N,18.8,全价：111.074 最后更新：15:34:09,,,,0,"{'R': '到期\n最后交易日：2026-09-28\n最后转股日：2026-10-08\n债券到期日：2026-10-09\n到期赎回价：110.000元/张', 'M': ''}",0,0,N,,,buy,buy
