抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-05-08 08:56:12,123269,金杨转债,jyzz,100.0,0.0,301210,金杨精密,jygf,42.79,3.48,2.6,39.8,107.51,171,-6.99,93.01,630701,电力设备,szcy,C,2026-05-11,[],0,0,buy,AA-,,27.86,51.74,52.7,buy,2032-04-19,5.953,9.8,0.0,24398.44,0.0,2.21,,0,,00,Y,N,0,0,Y,,未到转股期；2026-10-26 开始转股,计算使用6.0年期 评级为AA- 债参考YTM：3.5446,N,9.8,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-05-08 08:56:12,123267,珂玛转债,kmzz,100.0,0.0,301611,珂玛科技,kmkj,103.6,-3.63,24.68,97.57,106.18,167,-5.82,94.18,270103,电子,szcy,C,,[],0,0,buy,AA,,68.299,126.841,,buy,2032-04-15,5.943,7.5,0.0,170001.35,0.0,2.18,,0,,00,Y,N,0,0,Y,,未到转股期；2026-10-22 开始转股,计算使用6.0年期 评级为AA 债参考YTM：2.2946,N,7.5,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-05-08 08:56:12,113702,斯达转债,sdzz,100.0,0.0,603290,斯达半导,sdbd,106.26,0.25,3.65,105.3,100.91,167,-0.9,99.1,270102,电子,shmb,C,2026-05-11,[],0,0,buy,AA+,,73.71,136.89,5.9,buy,2032-04-15,5.943,15.0,0.0,97179.65,0.0,1.87,,0,,00,Y,N,0,0,Y,,未到转股期；2026-10-22 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：2.0346,N,15.0,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-05-08 08:56:12,127024,盈峰转债,yfzz,211.5,-3.29,000967,盈峰环境,yfhj,16.3,-0.73,3.02,7.67,212.52,0,-0.48,211.02,760201,环保,szmb,C,2020-12-02,[],0,0,buy,AA+,,5.369,9.971,1.2,buy,2026-11-04,,6.338,293751.53,499530.35,214.98,,,0,15:34:27,00,Y,N,0,0,Y,,2021-05-10 开始转股,强赎登记日2026-05-25，赎回价格101.129元，如不考虑强赎纯债价值为109.20元，计算使用0.5年期 评级为AA+ 债参考YTM：1.4901,N,14.762,全价：211.500 最后更新：15:34:27,2026-05-25,101.129,如不考虑强赎期权价值为113.51元,1,"{'R': '最后交易日 2026年5月25日\r\n最后转股日 2026年5月28日\r\n赎回价 101.129元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-08 08:56:12,118004,博瑞转债,brzz,190.941,-3.03,688166,博瑞医药,bryy,66.64,-2.8,11.14,34.74,191.83,0,-0.46,190.48,370101,医药生物,shkc,C,2022-01-27,[],0,0,buy,AA-,,24.318,45.162,1.0,buy,2028-01-04,,2.935,82675.07,94129.81,146.11,,,0,14:59:58,00,Y,N,0,0,Y,,2022-07-11 开始转股,强赎登记日2026-05-18，赎回价格100.945元，如不考虑强赎纯债价值为113.62元，计算使用1.7年期 评级为AA- 债参考YTM：2.0712,N,4.65,全价：190.941 最后更新：14:59:58,2026-05-18,100.945,如不考虑强赎期权价值为105.77元,1,"{'R': '最后交易日 2026年5月18日\r\n最后转股日 2026年5月21日\r\n赎回价 100.9452元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-08 08:56:12,123085,万顺转2,wsz2,192.3,-0.42,300057,万顺新材,wsxc,9.64,-0.52,1.76,4.99,193.19,0,-0.46,191.84,240301,有色金属,szcy,C,2020-12-28,[],0,0,buy,AA-,,3.493,6.487,1.4,buy,2026-12-11,,1.113,82119.12,101801.54,375.21,,,0,15:34:45,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2021-06-17 开始转股,强赎登记日2026-05-12，赎回价格100.870元，如不考虑强赎纯债价值为106.88元，计算使用0.6年期 评级为AA- 债参考YTM：1.7702,N,9.0,全价：192.300 最后更新：15:34:45,2026-05-12,100.870,如不考虑强赎期权价值为94.90元,1,"{'R': '最后交易日：2026年5月12日\r\n最后转股日：2026年5月15日\r\n赎回价：100.87元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-08 08:56:12,118003,华兴转债,hxzz,242.948,12.94,688001,华兴源创,hxyc,63.9,12.38,8.45,26.22,243.71,0,-0.31,242.64,640107,机械设备,shkc,C,2021-12-20,[],0,0,buy,AA,,18.354,34.086,1.0,buy,2027-11-29,,2.827,368522.16,152112.18,555.5,,,0,15:00:00,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2022-06-06 开始转股,强赎登记日2026-05-13，赎回价格100.843元，如不考虑强赎纯债价值为108.98元，计算使用1.6年期 评级为AA 债参考YTM：1.6688,N,8.0,全价：242.948 最后更新：15:00:00,2026-05-13,100.843,如不考虑强赎期权价值为149.65元,1,"{'R': '最后交易日 2026年5月13日\r\n最后转股日 2026年5月18日\r\n赎回价 100.8433元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-08 08:56:12,123054,思特转债,stzz,139.2,0.68,300608,思特奇,stq,13.79,0.88,3.54,9.88,139.58,0,-0.27,138.93,710401,计算机,szcy,C,2020-07-06,[],0,0,buy,AA-,,6.916,12.844,3.9,buy,2026-06-10,,1.559,22421.66,34834.28,102.91,,,0,15:34:42,00,Y,N,0,0,Y,,2020-12-16 开始转股,强赎登记日2026-05-25，赎回价格102.900元，如不考虑强赎纯债价值为114.83元，计算使用0.1年期 评级为AA- 债参考YTM：1.6888,N,2.71,全价：139.200 最后更新：15:34:42,2026-05-25,102.900,如不考虑强赎期权价值为39.77元,1,{'R': '最后交易日 2026年5月25日\r\n最后转股日 2026年5月28日\r\n赎回价 102.90元/张'},0,0,N,,,buy,buy
2026-05-08 08:56:12,118033,华特转债,htzz,198.946,-3.17,688268,华特气体,htqt,164.95,-1.35,9.7,82.75,199.34,0,-0.2,198.75,270601,电子,shkc,C,2023-04-14,[],0,0,buy,AA-,,57.925,107.575,3.0,buy,2029-03-21,2.871,5.987,229620.93,160869.65,189.05,-16.72,,0,15:00:00,00,Y,N,0,0,Y,,2023-09-27 开始转股,计算使用2.9年期 评级为AA- 债参考YTM：2.4233,N,6.46,全价：198.946 最后更新：15:00:00,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-05-08 08:56:12,111013,新港转债,xgzz,135.525,-1.34,605162,新中港,xzg,11.77,-0.84,3.64,8.67,135.76,0,-0.17,135.36,410104,公用事业,shmb,C,2023-05-05,[],0,0,buy,AA-,,6.069,11.271,5.3,buy,2029-03-08,2.836,2.6,24455.1,15870.67,69.05,-4.64,,0,14:59:59,00,Y,N,0,0,Y,,2023-09-14 开始转股,已公告要强赎，如不考虑强赎纯债价值为111.03元，计算使用2.9年期 评级为AA- 债参考YTM：2.4233,N,3.691,全价：135.525 最后更新：14:59:59,,,如不考虑强赎期权价值为60.48元,0,{'O': ''},0,0,N,,,buy,buy
