抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_begin,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-05-21 10:52:12,118018,瑞科转债,rkzz,185.341,7.83,688323,瑞华泰,rht,39.16,4.93,8.4,21.0,186.48,0,-0.61,184.73,220505,基础化工,shkc,C,2022-09-14,[],0,0,buy,A,,14.7,27.3,4.8,buy,2028-08-18,2.247,3.458,551268.45,146958.22,839.33,-19.98,,0,15:00:00,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-02-24 开始转股,计算使用2.3年期 评级为A 债参考YTM：6.8112,N,4.3,全价：185.341 最后更新：15:00:00,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-05-21 10:52:12,127024,盈峰转债,yfzz,156.2,-8.34,000967,盈峰环境,yfhj,12.05,-7.87,2.28,7.67,157.11,0,-0.58,155.62,760201,环保,szmb,C,2020-12-02,[],0,0,buy,AA+,,5.369,9.971,1.2,buy,2026-11-04,,4.644,52857.35,225545.58,69.82,,,0,15:34:42,00,Y,N,0,0,Y,,2021-05-10 开始转股,强赎登记日2026-05-25，赎回价格101.129元，如不考虑强赎纯债价值为109.28元，计算使用0.5年期 评级为AA+ 债参考YTM：1.4464,N,14.762,全价：156.200 最后更新：15:34:42,2026-05-25,101.129,如不考虑强赎期权价值为59.22元,1,"{'R': '最后交易日 2026年5月25日\r\n最后转股日 2026年5月28日\r\n赎回价 101.129元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-21 10:52:12,111005,富春转债,fczz,139.753,-5.58,605189,富春染织,fcrz,16.82,-5.13,1.64,11.98,140.4,0,-0.46,139.29,350104,纺织服饰,shmb,C,2022-07-25,[],0,0,buy,AA-,,8.386,15.574,4.2,buy,2028-06-23,,1.584,36296.06,23049.05,157.78,,,0,14:59:59,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-12-29 开始转股,强赎登记日2026-05-25，赎回价格101.397元，如不考虑强赎纯债价值为107.04元，计算使用2.1年期 评级为AA- 债参考YTM：2.0604,N,5.7,全价：139.753 最后更新：14:59:59,2026-05-25,101.397,如不考虑强赎期权价值为57.28元,0,{'R': '最后交易日 2026年5月25日\r\n最后转股日 2026年5月28日\r\n赎回价 101.3973元/张'},0,0,N,,,buy,buy
2026-05-21 10:52:12,111013,新港转债,xgzz,120.046,-4.7,605162,新中港,xzg,10.45,-4.13,3.26,8.67,120.53,0,-0.4,119.65,410104,公用事业,shmb,C,2023-05-05,[],0,0,buy,AA-,,6.069,11.271,4.4,buy,2029-03-08,,1.929,15501.06,14579.96,64.49,,,0,14:59:56,00,Y,N,0,0,Y,,2023-09-14 开始转股,强赎登记日2026-05-27，赎回价格100.353元，如不考虑强赎纯债价值为111.48元，计算使用2.8年期 评级为AA- 债参考YTM：2.3068,N,3.691,全价：120.046 最后更新：14:59:56,2026-05-27,100.353,如不考虑强赎期权价值为48.69元,0,{'R': '最后交易日 2026年5月27日\r\n最后转股日 2026年6月1日\r\n赎回价 100.3534元/张'},0,0,N,,,buy,buy
2026-05-21 10:52:12,127066,科利转债,klzz,138.85,-0.52,002850,科达利,kdl,207.0,-0.4,4.11,148.7,139.21,0,-0.26,138.59,630701,电力设备,szmb,C,2022-08-03,[],0,0,buy,AA,,104.09,193.31,3.4,buy,2028-07-08,,13.952,76245.23,141862.15,38.39,,,0,15:33:57,00,Y,N,0,0,Y,,2023-01-16 开始转股,强赎登记日2026-06-09，赎回价格101.405元，如不考虑强赎纯债价值为109.37元，计算使用2.2年期 评级为AA 债参考YTM：1.7047,N,15.344,全价：138.850 最后更新：15:33:57,2026-06-09,101.405,如不考虑强赎期权价值为57.41元,0,"{'R': '最后交易日 2026年6月9日\r\n最后转股日 2026年6月12日\r\n赎回价 101.405元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-21 10:52:12,123126,瑞丰转债,rfzz,149.19,-6.45,300243,瑞丰高材,rfgc,17.39,-6.51,3.9,11.64,149.4,0,-0.14,149.05,220501,基础化工,szcy,C,2021-10-18,[],0,0,buy,A,,8.148,15.132,2.6,buy,2027-09-10,,0.969,32107.33,41001.11,211.55,,,0,15:34:15,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-03-16 开始转股,强赎登记日2026-05-26，赎回价格102.532元，如不考虑强赎纯债价值为113.80元，计算使用1.4年期 评级为A 债参考YTM：6.6245,N,3.4,全价：149.190 最后更新：15:34:15,2026-05-26,102.532,如不考虑强赎期权价值为61.01元,1,{'R': '最后交易日 2026年5月26日\r\n最后转股日 2026年5月29日\r\n赎回价 102.532元/张'},0,0,N,,,buy,buy
2026-05-21 10:52:12,123207,冠中转债,gzzz,249.815,9.54,300948,冠中生态,gzst,26.1,10.13,4.32,10.44,250.0,0,-0.07,249.75,620307,建筑装饰,szcy,C,2023-08-09,[],0,0,buy,A-,,7.308,13.572,4.6,buy,2029-07-21,3.17,1.83,335628.54,44519.56,724.01,-20.99,,0,15:34:48,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2024-01-29 开始转股,计算使用3.2年期 评级为A- 债参考YTM：9.4881,N,4.0,全价：249.815 最后更新：15:34:48,,,,0,"{'G': '本次（2026年1月29日至2026年2月26日）不提前赎回，自2026年5月26日后首个交易日重新计算', 'M': ''}",0,0,N,,,buy,buy
2026-05-21 10:52:12,123236,家联转债,jlzz,159.379,-2.22,301193,家联科技,jlkj,24.45,-2.24,3.9,15.33,159.49,0,-0.07,159.31,360311,轻工制造,szcy,C,2024-01-18,[],0,0,buy,AA-,,10.731,19.929,1.3,buy,2029-12-22,,0.556,87729.08,35765.4,955.54,,,0,15:34:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2024-06-28 开始转股,强赎登记日2026-05-22，赎回价格100.344元，如不考虑强赎纯债价值为109.16元，计算使用3.6年期 评级为AA- 债参考YTM：2.5003,N,7.5,全价：159.379 最后更新：15:34:12,2026-05-22,100.344,如不考虑强赎期权价值为91.09元,0,"{'R': '最后交易日：2026年5月22日\r\n最后转股日：2026年5月27日\r\n赎回价：100.344元/张', 'M': ''}",0,0,N,,,buy,buy
2026-05-21 10:52:12,123243,严牌转债,ypzz,252.83,-5.13,301081,严牌股份,ypgf,18.39,-4.12,3.75,7.27,252.96,0,-0.05,252.78,760201,环保,szcy,C,2024-07-26,[],0,0,buy,A+,,5.089,9.451,7.0,buy,2030-07-10,4.14,2.833,98684.33,31764.12,132.48,-16.93,,0,15:34:15,00,Y,N,0,0,Y,,2025-01-16 开始转股,计算使用4.2年期 评级为A+ 债参考YTM：4.9487,N,4.679,全价：252.830 最后更新：15:34:15,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-05-21 10:52:12,123121,帝尔转债,dezz,200.5,2.51,300776,帝尔激光,dejg,147.3,2.47,9.89,73.56,200.25,0,0.13,200.63,630505,电力设备,szcy,C,2021-08-27,[],0,0,buy,AA-,,51.492,95.628,1.7,buy,2027-08-05,,4.232,298979.52,340416.15,330.78,,,0,15:34:12,00,Y,N,0,0,Y,,2022-02-11 开始转股,强赎登记日2026-05-28，赎回价格102.068元，如不考虑强赎纯债价值为114.88元，计算使用1.3年期 评级为AA- 债参考YTM：1.9206,N,8.4,全价：200.500 最后更新：15:34:12,2026-05-28,102.068,如不考虑强赎期权价值为107.21元,1,"{'R': '最后交易日 2026年5月28日\r\n最后转股日 2026年6月2日\r\n赎回价 102.068元/张', 'M': ''}",0,0,N,,,buy,buy
