抓取时间,bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_begin,premium_rt,dblow,sw_cd,sw_name,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,volatility_rate,debt_rate
2026-07-29 10:07:03,123188,Z羊转债,syzz,142.806,3.78,300740,水羊股份,sygf,19.38,4.53,3.64,13.44,144.2,0,-0.96,141.85,770202,美容护理,szcy,C,2023-04-25,[],0,0,buy,A+,,9.408,17.472,1.3,buy,2029-04-04,,1.0,186989.38,69629.76,1301.29,,,0,15:34:51,00,Y,N,0,0,Y,,2023-10-11 开始转股,强赎登记日2026-07-29，赎回价格100.6020元，如不考虑强赎纯债价值为106.18元，计算使用2.7年期 评级为A+ 债参考YTM：4.5316,N,6.95,全价：142.806 最后更新：15:34:51,2026-07-29,100.6020,如不考虑强赎期权价值为69.78元,0,"{'R': '最后交易日 2026年7月29日\r\n最后转股日 2026年8月3日\r\n赎回价 100.602元/张', 'M': ''}",0,0,N,,,buy,buy
2026-07-29 10:07:03,127067,恒逸转2,hyz2,150.4,1.91,000703,恒逸石化,hysh,15.6,1.96,2.2,10.32,151.16,0,-0.5,149.9,750301,石油石化,szmb,C,2022-08-18,[],0,0,buy,AA+,,7.224,13.416,4.7,buy,2028-07-21,1.981,27.977,62241.69,94805.29,14.88,-14.42,,0,15:34:27,00,Y,N,0,0,Y,,2023-01-30 开始转股,计算使用2.0年期 评级为AA+ 债参考YTM：1.6424,N,30.0,全价：150.400 最后更新：15:34:27,,,,1,{'M': ''},0,0,N,,,buy,buy
2026-07-29 10:07:03,110077,洪城转债,hczz,211.085,2.42,600461,洪城环境,hchj,9.31,2.2,1.16,4.41,211.11,0,-0.01,211.08,760102,环保,shmb,C,2020-12-17,[],0,0,buy,AA+,,3.087,5.733,4.9,buy,2026-11-20,0.312,5.933,8585.94,11618.21,6.93,-154.68,,0,14:59:52,00,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用0.4年期 评级为AA+ 债参考YTM：1.5312,N,18.0,全价：211.085 最后更新：14:59:52,,,,1,{'M': ''},0,0,N,,,buy,buy
2026-07-29 10:07:03,113658,密卫转债,mwzz,111.204,-2.64,603713,密尔克卫,mekw,60.75,-2.75,1.96,54.72,111.02,0,0.17,111.37,420806,交通运输,shmb,C,2022-10-25,[],0,0,buy,AA-,,38.304,71.136,4.6,buy,2027-09-16,,4.598,23914.73,26790.39,46.49,,,0,14:59:57,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-03-22 开始转股,强赎登记日2026-08-06，赎回价格101.3562元，如不考虑强赎纯债价值为111.15元，计算使用1.2年期 评级为AA- 债参考YTM：1.8884,N,8.724,全价：111.204 最后更新：14:59:57,2026-08-06,101.3562,如不考虑强赎期权价值为26.19元,1,"{'R': '最后交易日 2026年8月6日\r\n最后转股日 2026年8月11日\r\n赎回价 101.3562元/张', 'M': ''}",0,0,N,,,buy,buy
2026-07-29 10:07:03,110103,申能转债,snzz,100.0,0.0,600642,申能股份,sngf,8.64,2.25,1.0,8.74,98.86,187,1.16,101.16,410101,公用事业,shmb,C,,[],0,0,buy,AAA,,6.118,11.362,4.7,buy,2032-07-23,5.989,20.0,0.0,21464.38,0.0,1.66,,0,,00,Y,N,0,0,Y,,未到转股期；2027-02-01 开始转股,计算使用6.0年期 评级为AAA 债参考YTM：1.8213,N,20.0,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-29 10:07:03,118074,特宝转债,tbzz,100.0,0.0,688278,特宝生物,tbsw,57.69,0.17,6.49,58.56,98.51,189,1.51,101.51,370304,医药生物,shkc,C,,[],0,0,buy,AA+,,40.992,76.128,6.5,buy,2032-07-27,6.0,15.33,0.0,16901.45,0.0,1.85,,0,,00,Y,N,0,0,Y,,未到转股期；2027-02-03 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：1.9613,N,15.33,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-29 10:07:03,110102,江农转债,jnzz,100.0,0.0,600389,江山股份,jsgf,20.32,4.74,2.09,20.64,98.45,175,1.57,101.57,220803,基础化工,shmb,C,,[],0,0,buy,AA+,,14.448,26.832,13.5,buy,2032-07-13,5.962,11.85,0.0,35329.88,0.0,2.04,,0,,00,Y,N,0,0,Y,,未到转股期；2027-01-20 开始转股,计算使用6.0年期 评级为AA+ 债参考YTM：1.9613,N,11.85,待上市,,,,0,{'M': ''},0,0,N,,,buy,buy
2026-07-29 10:07:03,118053,正帆转债,zfzz,145.063,7.22,688596,正帆科技,zfkj,54.71,11.27,4.25,38.57,141.85,0,2.27,147.33,640209,机械设备,shkc,C,2025-04-03,[],0,0,buy,AA,,26.999,50.141,6.5,buy,2031-03-18,4.638,10.406,624005.21,231021.53,420.05,-4.81,,0,15:00:00,00,Y,N,0,0,Y,,2025-09-24 开始转股,已公告要强赎，如不考虑强赎纯债价值为106.00元，计算使用4.7年期 评级为AA 债参考YTM：1.9533,N,10.41,全价：145.063 最后更新：15:00:00,,,如不考虑强赎期权价值为95.55元,0,"{'O': '', 'M': ''}",0,0,N,,,buy,buy
2026-07-29 10:07:03,113039,嘉泽转债,jzzz,166.492,4.31,601619,嘉泽新能,jzxn,4.66,4.48,1.69,2.89,161.25,0,3.25,169.74,410107,公用事业,shmb,C,2020-09-17,[],0,0,buy,AA,,2.023,3.757,2.5,buy,2026-08-24,0.071,2.854,157480.75,32052.69,328.04,-493.43,,0,15:00:00,00,Y,N,0,0,Y,,2021-03-01 开始转股,计算使用0.1年期 评级为AA 债参考YTM：1.4994,N,13.0,全价：166.492 最后更新：15:00:00,,,,1,"{'R': '到期\n最后交易日：2026-08-18\n最后转股日：2026-08-21\n债券到期日：2026-08-24\n到期赎回价：108.000元/张', 'M': ''}",0,0,N,,,buy,buy
2026-07-29 10:07:03,123278,合金转债,hjzz,100.0,0.0,300697,电工合金,dghj,13.54,-0.29,4.47,13.98,96.85,191,3.25,103.25,240302,有色金属,szcy,C,,[],0,0,buy,AA-,,9.786,18.174,12.2,buy,2032-07-29,6.003,5.45,0.0,16659.87,0.0,2.19,,0,,00,Y,N,0,0,Y,,未到转股期；2027-02-05 开始转股,计算使用6.1年期 评级为AA- 债参考YTM：3.4364,N,5.45,待上市,,,,0,[],0,0,N,,,buy,buy
